_geojson,NAME,ALAND,unemployment_rate,LSAD,AWATER,labor_force,COUNTYFP,employed,unemployment_level,AFFGEOID,GEOID,STATEFP,COUNTYNS
"{""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-84.602761,42.76988],[-84.38471,42.769882],[-84.363659,42.775778],[-84.158189,42.776639],[-84.140713,42.424611],[-84.600403,42.421984],[-84.602761,42.76988]]]]},""type"":""Feature"",""properties"":{""NAME"":""Ingham"",""ALAND"":1440322252,""unemployment_rate"":4.4,""LSAD"":6,""AWATER"":11920176,""labor_force"":150600,""COUNTYFP"":65,""employed"":143970,""unemployment_level"":6630,""AFFGEOID"":""0500000US26065"",""GEOID"":26065,""STATEFP"":26,""COUNTYNS"":1622975}}",Ingham,1440322252,4.4,6,11920176,150600,65,143970,6630,0500000US26065,26065,26,1622975
"{""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-90.230331,32.049728],[-89.730066,32.047072],[-89.662086,32.047239],[-89.653025,31.780653],[-89.755103,31.774654],[-89.974586,31.761655],[-90.122565,31.75268],[-90.107491,31.777685],[-90.230331,32.049728]]]]},""type"":""Feature"",""properties"":{""NAME"":""Simpson"",""ALAND"":1525930832,""unemployment_rate"":4.8,""LSAD"":6,""AWATER"":3378529,""labor_force"":10997,""COUNTYFP"":127,""employed"":10466,""unemployment_level"":531,""AFFGEOID"":""0500000US28127"",""GEOID"":28127,""STATEFP"":28,""COUNTYNS"":695784}}",Simpson,1525930832,4.8,6,3378529,10997,127,10466,531,0500000US28127,28127,28,695784
"{""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-89.451616,31.434029],[-89.399178,31.434029],[-89.146092,31.434052],[-89.146176,31.000447],[-89.137967,30.909877],[-89.340806,30.909912],[-89.34072,30.994163],[-89.34895,31.01037],[-89.347863,31.3467],[-89.451073,31.346383],[-89.451616,31.434029]]]]},""type"":""Feature"",""properties"":{""NAME"":""Forrest"",""ALAND"":1207042799,""unemployment_rate"":4.8,""LSAD"":6,""AWATER"":10872920,""labor_force"":33967,""COUNTYFP"":35,""employed"":32337,""unemployment_level"":1630,""AFFGEOID"":""0500000US28035"",""GEOID"":28035,""STATEFP"":28,""COUNTYNS"":695742}}",Forrest,1207042799,4.8,6,10872920,33967,35,32337,1630,0500000US28035,28035,28,695742
"{""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-71.651153,43.621119],[-71.648346,43.684511],[-71.581403,43.691949],[-71.521466,43.697992],[-71.531658,43.760979],[-71.43989,43.695558],[-71.344245,43.62922],[-71.34362,43.628794],[-71.208941,43.550517],[-71.162675,43.538959],[-71.159364,43.355123],[-71.236011,43.284994],[-71.471454,43.411298],[-71.55003,43.452701],[-71.612426,43.437893],[-71.727573,43.563411],[-71.651153,43.621119]]]]},""type"":""Feature"",""properties"":{""NAME"":""Belknap"",""ALAND"":1040130767,""unemployment_rate"":2.6,""LSAD"":6,""AWATER"":177190123,""labor_force"":30857,""COUNTYFP"":1,""employed"":30044,""unemployment_level"":813,""AFFGEOID"":""0500000US33001"",""GEOID"":33001,""STATEFP"":33,""COUNTYNS"":873174}}",Belknap,1040130767,2.6,6,177190123,30857,1,30044,813,0500000US33001,33001,33,873174
"{""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-81.391826,41.416317],[-81.391518,41.445222],[-81.391005,41.569716],[-81.29588,41.56995],[-81.294669,41.640889],[-81.101422,41.641457],[-81.102258,41.714307],[-81.003631,41.715137],[-81.003125,41.501685],[-81.003319,41.34786],[-81.391694,41.348272],[-81.391826,41.416317]]]]},""type"":""Feature"",""properties"":{""NAME"":""Geauga"",""ALAND"":1036429792,""unemployment_rate"":4.8,""LSAD"":6,""AWATER"":21045380,""labor_force"":48802,""COUNTYFP"":55,""employed"":46476,""unemployment_level"":2326,""AFFGEOID"":""0500000US39055"",""GEOID"":39055,""STATEFP"":39,""COUNTYNS"":1074040}}",Geauga,1036429792,4.8,6,21045380,48802,55,46476,2326,0500000US39055,39055,39,1074040
"{""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-82.313996,34.484002],[-82.236125,34.53583],[-82.238054,34.586956],[-82.146792,34.785554],[-82.071621,34.704242],[-81.863275,34.580231],[-81.854002,34.594549],[-81.677321,34.557972],[-81.643552,34.533652],[-81.703198,34.452631],[-81.737103,34.430544],[-81.782627,34.365089],[-81.895331,34.300497],[-81.945019,34.203148],[-82.08367,34.29924],[-82.168857,34.330151],[-82.246337,34.409676],[-82.310314,34.466656],[-82.313996,34.484002]]]]},""type"":""Feature"",""properties"":{""NAME"":""Laurens"",""ALAND"":1848783527,""unemployment_rate"":4.4,""LSAD"":6,""AWATER"":25949287,""labor_force"":30194,""COUNTYFP"":59,""employed"":28869,""unemployment_level"":1325,""AFFGEOID"":""0500000US45059"",""GEOID"":45059,""STATEFP"":45,""COUNTYNS"":1248009}}",Laurens,1848783527,4.4,6,25949287,30194,59,28869,1325,0500000US45059,45059,45,1248009
"{""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-97.849492,44.195235],[-97.370115,44.194971],[-97.369463,43.848526],[-97.608517,43.849059],[-97.85111,43.849857],[-97.849492,44.195235]]]]},""type"":""Feature"",""properties"":{""NAME"":""Miner"",""ALAND"":1476889390,""unemployment_rate"":3,""LSAD"":6,""AWATER"":4382648,""labor_force"":1197,""COUNTYFP"":97,""employed"":1161,""unemployment_level"":36,""AFFGEOID"":""0500000US46097"",""GEOID"":46097,""STATEFP"":46,""COUNTYNS"":1265777}}",Miner,1476889390,3,6,4382648,1197,97,1161,36,0500000US46097,46097,46,1265777
"{""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-100.114336,28.648122],[-99.409021,28.640566],[-99.395736,28.640784],[-99.394177,28.204627],[-100.113719,28.197819],[-100.114336,28.648122]]]]},""type"":""Feature"",""properties"":{""NAME"":""Dimmit"",""ALAND"":3441795365,""unemployment_rate"":5.1,""LSAD"":6,""AWATER"":14576538,""labor_force"":6480,""COUNTYFP"":127,""employed"":6150,""unemployment_level"":330,""AFFGEOID"":""0500000US48127"",""GEOID"":48127,""STATEFP"":48,""COUNTYNS"":1383849}}",Dimmit,3441795365,5.1,6,14576538,6480,127,6150,330,0500000US48127,48127,48,1383849
"{""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-102.075929,33.389586],[-101.556884,33.39476],[-101.557434,32.961025],[-101.691284,32.961838],[-102.076214,32.959702],[-102.075929,33.389586]]]]},""type"":""Feature"",""properties"":{""NAME"":""Lynn"",""ALAND"":2309924845,""unemployment_rate"":3.8,""LSAD"":6,""AWATER"":4169719,""labor_force"":2720,""COUNTYFP"":305,""employed"":2618,""unemployment_level"":102,""AFFGEOID"":""0500000US48305"",""GEOID"":48305,""STATEFP"":48,""COUNTYNS"":1383938}}",Lynn,2309924845,3.8,6,4169719,2720,305,2618,102,0500000US48305,48305,48,1383938
"{""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-99.303996,30.499832],[-98.964232,30.498482],[-98.59167,30.499875],[-98.587897,30.138954],[-98.920147,30.13829],[-99.300988,30.134298],[-99.301718,30.286653],[-99.303996,30.499832]]]]},""type"":""Feature"",""properties"":{""NAME"":""Gillespie"",""ALAND"":2740716834,""unemployment_rate"":2.6,""LSAD"":6,""AWATER"":9015052,""labor_force"":13193,""COUNTYFP"":171,""employed"":12853,""unemployment_level"":340,""AFFGEOID"":""0500000US48171"",""GEOID"":48171,""STATEFP"":48,""COUNTYNS"":1383871}}",Gillespie,2740716834,2.6,6,9015052,13193,171,12853,340,0500000US48171,48171,48,1383871
