DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2015/01/01 12:16:14.57,40.44200,-125.77467,23.900,5.36,Mw,43,271,121,0.19,NCSN,72373456
2015/01/01 13:44:21.46,41.88483,-119.69117,19.257,3.06,ML,12,177,51,0.05,NCSN,72373506
2015/01/01 14:11:14.66,41.88917,-119.67067,18.017,2.85,Md,12,177,53,0.14,NCSN,72373516
2015/01/01 21:18:15.72,38.36467,-122.60683,7.067,3.00,ML,118,36,3,0.11,NCSN,72373706
2015/01/02 03:23:13.34,40.33500,-126.39867,19.622,2.91,Md,23,325,176,0.24,NCSN,72373851
2015/01/02 06:57:17.73,36.81467,-121.53933,5.333,2.97,Md,73,32,4,0.08,NCSN,72373881
2015/01/02 16:36:29.57,36.60200,-121.20734,6.892,2.81,Md,82,28,3,0.07,NCSN,72374046
2015/01/03 00:19:16.15,40.71900,-123.62500,30.874,2.54,Md,44,41,20,0.08,NCSN,72374206
2015/01/03 05:17:31.57,40.96350,-124.45617,19.779,2.60,Md,51,217,39,0.07,NCSN,72374321
2015/01/03 14:44:52.65,39.81050,-123.48133,8.156,3.27,Mw,36,74,0,0.05,NCSN,72374656
2015/01/03 16:01:25.36,35.34350,-118.56300,10.474,3.02,ML,9,133,17,0.02,NCSN,72374716
2015/01/03 17:44:03.00,44.53700,-114.12200,5.890,4.90,Mw,0,0,0,0.00,NCSN,72374761
2015/01/04 03:18:08.18,34.61234,-118.61183,2.430,4.25,Mw,80,85,13,0.39,NCSN,72374986
2015/01/04 06:03:44.22,41.90917,-119.65884,18.517,3.36,ML,30,169,53,0.14,NCSN,72375051
2015/01/04 06:08:28.43,41.90567,-119.66283,17.017,2.72,Md,5,205,53,0.02,NCSN,72375061
2015/01/04 07:03:21.71,41.94483,-119.66900,16.767,3.15,Md,11,173,53,0.11,NCSN,72375096
2015/01/04 07:41:15.38,41.90950,-119.66650,18.917,3.03,Md,13,289,53,0.15,NCSN,72375116
2015/01/04 07:54:52.77,41.90717,-119.66617,18.917,2.73,Md,14,188,53,0.10,NCSN,72375126
2015/01/04 08:32:34.03,41.91817,-119.65717,17.427,2.94,Md,23,173,54,0.16,NCSN,72375136
2015/01/04 09:28:37.01,41.91583,-119.65234,20.217,3.12,Md,18,174,54,0.17,NCSN,72375191
2015/01/04 09:54:35.06,41.89933,-119.63200,17.257,2.98,Md,15,179,56,0.12,NCSN,72375216
2015/01/04 09:56:43.60,41.90533,-119.65317,18.767,3.99,Mw,14,177,54,0.12,NCSN,72375211
2015/01/04 10:06:48.39,41.91000,-119.65183,19.407,2.96,Md,12,172,54,0.13,NCSN,72375226
2015/01/04 13:44:25.82,41.93967,-119.64317,18.630,2.90,Md,15,186,55,0.17,NCSN,72375311
2015/01/04 15:30:14.05,36.59967,-121.20650,6.653,2.59,Md,74,46,3,0.06,NCSN,72375341
2015/01/04 17:17:26.20,41.92167,-119.65784,15.787,2.68,Md,7,203,54,0.04,NCSN,72375401
2015/01/04 20:08:14.85,41.94950,-119.72550,-1.373,3.55,Md,38,117,48,1.02,NCSN,72375476
2015/01/04 23:33:59.13,41.90717,-119.67583,19.197,2.84,Md,17,145,52,0.22,NCSN,72375541
2015/01/05 01:47:22.47,41.89050,-119.65434,16.817,3.64,Mw,13,179,54,0.10,NCSN,72375581
2015/01/05 06:23:01.04,41.89900,-119.66133,16.547,3.01,Md,13,175,53,0.11,NCSN,72375656
2015/01/05 14:08:55.76,41.94017,-119.68450,20.477,2.90,Md,10,302,51,0.13,NCSN,72375781
2015/01/05 15:35:50.63,41.90583,-119.69534,3.387,3.55,Md,24,131,50,0.96,NCSN,72375831
2015/01/05 15:39:57.16,41.92500,-119.66300,20.727,3.15,ML,22,169,53,0.13,NCSN,72375841
2015/01/05 16:50:33.64,41.95617,-119.66300,16.410,2.84,Md,12,262,53,0.14,NCSN,72375856
2015/01/05 18:42:44.36,41.90167,-119.66267,16.717,2.71,Md,7,316,53,0.07,NCSN,72375906
2015/01/05 19:24:28.25,41.90550,-119.66650,15.947,2.90,Md,9,188,53,0.04,NCSN,72375931
2015/01/05 23:26:09.55,41.91400,-119.63567,18.547,3.14,ML,14,177,55,0.12,NCSN,72375991
2015/01/06 01:52:36.84,41.92517,-119.66400,20.147,3.00,Md,15,171,53,0.08,NCSN,72376061
2015/01/06 03:30:03.16,41.91433,-119.67117,19.517,2.87,Md,25,170,52,0.18,NCSN,72376081
2015/01/06 03:47:17.56,40.31683,-125.24433,0.341,2.59,Md,45,306,79,0.30,NCSN,72376086
2015/01/06 09:49:15.93,34.27700,-116.43633,-1.389,2.73,Md,15,119,45,0.48,NCSN,72376156
2015/01/06 09:56:56.92,38.43950,-119.25883,8.880,3.19,ML,102,91,17,0.09,NCSN,72376166
2015/01/06 11:03:50.76,41.87733,-119.73033,-0.903,3.46,Md,25,149,48,1.00,NCSN,72376201
2015/01/06 15:37:46.23,41.91067,-119.66016,18.457,2.81,Md,10,176,53,0.18,NCSN,72376356
2015/01/07 01:29:37.36,39.24183,-123.19450,6.627,2.70,Mh,9,242,10,0.03,NCSN,72376591
2015/01/07 02:42:15.86,41.90333,-119.64584,17.377,3.11,ML,9,189,55,0.12,NCSN,72376621
2015/01/07 14:42:13.47,41.92533,-119.67750,19.797,2.70,Md,12,196,52,0.18,NCSN,72376881
2015/01/07 19:34:15.93,36.88417,-121.41367,8.863,2.70,Md,83,28,2,0.07,NCSN,72376971
2015/01/07 22:46:12.50,34.90733,-119.33750,7.044,2.86,Md,8,89,8,0.61,NCSN,72377121
2015/01/07 23:51:56.01,41.93533,-119.71900,20.977,2.75,Md,13,257,49,0.18,NCSN,71089184
2015/01/08 07:02:36.57,41.94133,-119.71917,16.667,2.92,Md,33,253,49,0.16,NCSN,72377431
2015/01/08 07:59:30.62,41.93683,-119.72166,20.397,3.33,ML,13,257,48,0.14,NCSN,72377436
2015/01/08 08:14:01.79,41.93167,-119.57133,12.890,2.75,Md,23,175,61,0.15,NCSN,72377461
2015/01/08 13:18:09.92,41.89283,-119.67017,18.487,3.09,ML,21,174,53,0.13,NCSN,72377566
2015/01/08 18:10:15.57,41.92867,-119.66300,19.657,2.66,Md,13,174,53,0.15,NCSN,72377651
2015/01/08 19:25:25.19,41.90450,-119.64150,16.537,2.85,Md,12,177,55,0.05,NCSN,72377696
2015/01/08 23:04:25.19,40.55250,-126.03983,11.922,2.77,Md,16,319,145,0.08,NCSN,72377816
2015/01/09 16:36:34.16,41.92700,-119.65567,6.467,2.57,Md,7,203,54,0.12,NCSN,72378296
2015/01/10 06:46:37.47,41.92267,-119.66517,21.857,2.91,Md,13,175,53,0.03,NCSN,72378596
2015/01/10 10:12:21.52,40.39117,-124.26500,10.829,2.86,Md,29,134,8,0.09,NCSN,72378641
2015/01/10 10:30:38.98,41.89583,-119.63633,16.527,3.11,Md,11,191,55,0.09,NCSN,72378651
2015/01/10 13:45:06.72,39.41167,-122.13400,29.132,2.77,Md,34,42,16,0.14,NCSN,72378716
2015/01/10 15:02:40.82,41.89067,-119.65533,18.257,2.95,Md,16,173,54,0.09,NCSN,72378771
2015/01/10 15:15:59.47,41.82817,-126.05867,22.460,3.06,ML,24,272,158,0.25,NCSN,72378781
2015/01/10 19:17:26.09,41.87366,-126.00100,4.010,2.85,Md,11,310,152,0.13,NCSN,72378871
2015/01/10 23:29:02.91,33.48083,-116.45100,11.749,2.79,Md,9,159,15,0.05,NCSN,72378956
2015/01/11 08:06:59.01,38.04800,-121.90916,19.868,2.54,Md,103,41,10,0.22,NCSN,72379081
2015/01/11 16:00:13.52,41.90783,-119.64933,18.317,2.94,Md,19,173,54,0.19,NCSN,72379181
2015/01/12 17:21:10.81,41.97467,-119.69867,17.187,2.70,Md,12,181,51,0.17,NCSN,72379941
2015/01/12 21:05:43.70,41.87100,-119.66350,13.097,2.61,Md,13,191,53,0.14,NCSN,72380031
2015/01/12 22:23:17.46,41.92583,-119.65950,8.987,2.55,Md,7,317,53,0.07,NCSN,72380061
2015/01/13 04:13:03.90,41.91417,-119.66333,20.297,3.02,ML,28,169,53,0.14,NCSN,72380261
2015/01/13 04:26:17.55,41.92050,-119.64400,19.247,2.96,ML,22,171,55,0.11,NCSN,72380266
2015/01/13 04:29:43.53,41.93417,-119.65500,14.807,3.67,ML,16,144,54,0.22,NCSN,72380276
2015/01/13 04:31:08.47,41.90200,-119.66217,17.007,3.79,ML,15,177,53,0.13,NCSN,71089269
2015/01/13 04:47:02.81,41.91533,-119.66517,20.237,2.83,Md,13,176,53,0.05,NCSN,72380296
2015/01/13 06:57:33.00,41.90900,-119.66016,18.067,2.70,Md,12,188,53,0.09,NCSN,72380371
2015/01/13 07:12:06.68,41.91917,-119.65183,17.917,2.89,Md,11,176,54,0.11,NCSN,72380376
2015/01/13 07:22:26.36,41.91783,-119.64183,17.587,3.14,Md,10,176,55,0.09,NCSN,72380386
2015/01/13 07:24:53.88,41.93050,-119.66383,18.437,2.96,Md,12,174,53,0.06,NCSN,72380391
2015/01/13 07:29:13.06,41.91533,-119.68217,17.507,2.99,Md,10,288,52,0.07,NCSN,72380396
2015/01/13 08:18:35.73,41.91650,-119.65583,18.017,2.96,Md,13,176,54,0.10,NCSN,72380416
2015/01/13 09:54:03.61,41.90283,-119.64283,18.317,3.03,ML,13,177,55,0.11,NCSN,72380446
2015/01/13 11:12:09.88,40.32033,-124.67966,17.491,2.62,Md,43,266,34,0.18,NCSN,72380471
2015/01/13 11:51:03.87,39.75566,-120.61584,5.716,2.63,Md,21,87,8,0.08,NCSN,72380496
2015/01/13 17:37:19.86,41.88917,-119.64550,19.387,2.97,Md,13,179,55,0.14,NCSN,72380576
2015/01/13 20:16:29.31,41.88717,-119.70433,18.617,2.85,Md,11,286,50,0.08,NCSN,72380666
2015/01/13 20:18:31.83,41.88683,-119.67400,13.917,2.73,Md,6,206,52,0.01,NCSN,72380671
2015/01/13 22:36:24.05,41.91950,-119.65867,17.457,2.71,Md,12,176,53,0.09,NCSN,72380741
2015/01/14 01:29:59.54,41.95417,-119.58350,14.590,2.74,Md,12,188,60,0.14,NCSN,72380841
2015/01/14 09:06:25.69,41.89717,-119.69466,-0.423,2.74,Md,10,280,50,0.03,NCSN,72380951
2015/01/14 10:38:48.20,40.32516,-124.62534,15.909,2.98,Md,51,234,29,0.15,NCSN,72381006
2015/01/14 10:44:35.04,40.31950,-124.61217,16.159,4.28,Mw,51,233,28,0.12,NCSN,72381011
2015/01/14 13:23:13.28,35.52750,-120.85983,3.147,2.65,Md,81,42,4,0.07,NCSN,72381101
2015/01/14 19:02:40.25,36.10283,-118.05500,-0.635,2.77,Md,26,145,25,0.37,NCSN,72381236
2015/01/16 10:39:55.61,38.81233,-122.81966,1.960,2.56,Md,75,22,1,0.06,NCSN,72382136
2015/01/16 19:24:32.20,41.91033,-119.66067,17.647,2.91,Md,11,176,53,0.12,NCSN,72382346
2015/01/17 19:59:54.02,33.90350,-117.96800,-0.690,2.57,Md,10,207,36,0.11,NCSN,72382586
2015/01/18 13:23:42.65,33.32967,-116.32917,-1.411,3.73,ML,14,183,22,0.25,NCSN,72382771
2015/01/18 13:24:38.02,33.34333,-116.33400,8.247,2.57,Md,8,181,21,0.02,NCSN,72382776
2015/01/19 08:19:52.25,40.20517,-121.15650,2.935,2.98,ML,62,80,7,0.22,NCSN,72383056
2015/01/19 10:45:11.34,38.83583,-122.80517,2.645,2.71,Md,62,106,3,0.04,NCSN,72383111
2015/01/19 19:57:50.38,40.43250,-125.10650,1.401,2.76,Md,30,272,71,0.28,NCSN,72383231
2015/01/20 13:21:36.97,36.43333,-120.97100,9.390,4.43,Mw,102,58,4,0.10,NCSN,72383481
2015/01/20 21:21:12.79,41.91117,-119.66550,18.727,2.93,Md,12,177,53,0.15,NCSN,72383661
2015/01/20 21:42:33.48,41.92017,-119.64516,18.827,3.37,ML,16,176,55,0.17,NCSN,72383681
2015/01/21 20:14:01.27,41.90383,-119.66766,17.117,2.72,Md,6,205,53,0.02,NCSN,72384156
2015/01/21 21:29:48.83,35.38233,-118.52433,6.031,2.87,Md,9,132,24,0.04,NCSN,72384191
2015/01/22 02:05:15.01,41.94283,-119.68816,20.187,3.68,ML,41,143,51,0.17,NCSN,72384291
2015/01/22 04:23:49.01,41.92833,-119.66866,15.427,2.98,Md,9,144,53,0.08,NCSN,72384336
2015/01/22 09:09:16.91,41.87550,-119.63517,17.557,4.68,Mw,22,180,56,0.14,NCSN,72384441
2015/01/22 09:27:59.02,41.88933,-119.66517,14.957,2.68,Md,9,190,53,0.07,NCSN,72384446
2015/01/22 09:28:38.37,41.95117,-119.68584,9.627,2.64,Md,9,200,51,0.41,NCSN,71089384
2015/01/22 09:35:49.01,41.87417,-119.65383,1.197,2.81,Md,7,191,54,0.06,NCSN,72384451
2015/01/22 09:40:17.53,41.92133,-119.68233,18.837,2.82,Md,12,174,52,0.05,NCSN,72384456
2015/01/22 09:44:24.46,41.88633,-119.65000,8.997,2.77,Md,12,191,54,0.12,NCSN,72384466
2015/01/22 09:49:06.92,41.88167,-119.70950,18.017,3.36,ML,37,227,49,0.18,NCSN,72384471
2015/01/22 10:18:44.49,41.92216,-119.68467,21.207,3.00,ML,18,282,51,0.10,NCSN,72384486
2015/01/22 10:39:41.32,41.90667,-119.67850,17.927,3.30,Md,18,169,52,0.14,NCSN,72384491
2015/01/22 12:00:34.25,41.91200,-119.67184,18.217,2.75,Md,9,203,52,0.12,NCSN,72384521
2015/01/22 12:39:01.20,41.92650,-119.67667,18.867,2.94,Md,13,174,52,0.23,NCSN,72384526
2015/01/22 15:07:05.73,41.89800,-119.67100,16.177,2.74,ML,10,177,52,0.04,NCSN,72384581
2015/01/22 17:31:08.24,36.16400,-120.30183,8.630,2.55,Md,65,69,10,0.07,NCSN,72384636
2015/01/22 18:43:06.79,41.91833,-119.64017,16.907,2.74,Md,14,176,55,0.13,NCSN,72384681
2015/01/22 19:12:04.29,41.85767,-119.69933,15.446,2.70,Md,9,312,50,0.11,NCSN,72384701
2015/01/22 20:07:22.42,41.90317,-119.66833,11.967,2.64,Md,11,189,53,0.18,NCSN,72384731
2015/01/22 21:11:50.39,41.89567,-119.67484,15.347,2.66,Md,12,189,52,0.08,NCSN,72384766
2015/01/23 07:24:36.74,41.86833,-119.48367,11.020,2.69,Md,14,307,68,0.12,NCSN,72385171
2015/01/23 13:30:29.58,41.88717,-119.66766,18.857,2.89,Md,13,177,53,0.07,NCSN,72385261
2015/01/23 16:00:34.97,40.33967,-124.38333,16.129,2.59,Md,20,242,9,0.10,NCSN,72385286
2015/01/23 18:47:49.91,41.89950,-119.66450,13.687,2.63,Md,9,205,53,0.11,NCSN,72385306
2015/01/24 03:35:16.57,41.91117,-119.65417,17.887,2.86,Md,13,176,54,0.15,NCSN,72385481
2015/01/24 20:00:28.95,41.91650,-119.67650,17.387,2.72,Md,12,145,52,0.13,NCSN,72385686
2015/01/24 20:41:11.48,41.88150,-119.63783,7.367,2.84,Md,13,179,55,0.25,NCSN,72385691
2015/01/25 00:48:36.71,41.91233,-119.66333,16.557,2.93,Md,35,167,53,0.21,NCSN,72385741
2015/01/25 03:34:38.12,40.32867,-124.63667,17.721,3.16,ML,56,232,30,0.20,NCSN,72385806
2015/01/25 18:10:17.99,32.98283,-116.44566,2.131,2.95,Md,10,112,40,0.09,NCSN,72385976
2015/01/26 02:49:01.11,37.52900,-118.86417,5.475,2.88,Md,28,57,10,0.05,NCSN,72386211
